Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,PatternBits,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,256,No,8.31e-07,64,11,0.6339279862727273,0.00014409466911799654,0.6339126032049006,0.00014405969883451173,1577504524.9838145,12,0.6339004618326823
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,512,No,8.86e-07,64,11,0.6339838155454547,4.066900502934413e-06,0.633968172940341,3.632345748088217e-06,1577366250.6778617,12,0.6339056701660156
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,1024,No,8.98e-07,64,11,0.6339826617272728,1.985790204226794e-06,0.6339673350941051,2.039492010405581e-06,1577368335.3126729,12,0.6339735056559245
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,2048,No,8.27e-07,64,11,0.633993089909091,3.15865253303814e-06,0.6339770174893467,3.4525447040008305e-06,1577344245.001443,12,0.6339727274576822
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,1,No,0.000544458,8,11,0.260883683,7.208218667533078e-06,0.26086791159889916,7.402113329657128e-06,3833357632.492428,12,0.2608680979410808
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,2,No,0.000546531,8,11,0.2608743259090909,1.3875122711201587e-05,0.2608592557040128,1.418407013847378e-05,3833484831.892116,12,0.260856575012207
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,4,No,0.000548053,8,11,0.26086499345454545,2.0398294861238738e-05,0.2608485495827415,2.1543711625564215e-05,3833642171.2891245,12,0.2608437754313151
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,8,No,0.000549517,8,11,0.260844458,7.188775135196722e-06,0.2608290016867898,7.415596394649432e-06,3833929484.5778913,12,0.26115225728352864
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,16,No,0.00054983,8,11,0.26418615436363635,6.268865518920794e-06,0.26416993852095166,6.07023623784552e-06,3785442074.13929,12,0.2641615320841471
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,32,No,0.000551192,8,11,0.2717889932727273,0.0024631619859592983,0.27177276333895595,0.0024638824638085464,3679544586.124683,12,0.27030604298909505
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,64,No,0.000550123,8,11,0.2744900966363636,8.893679093781784e-06,0.27447361616654836,7.519708293906657e-06,3643337432.4518247,12,0.2744691212972005
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,128,No,0.000549048,8,11,0.2751447044545455,8.940589840623581e-06,0.27512878695401277,8.851119382354292e-06,3634661465.530861,12,0.2751248219807943
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,256,No,0.000550148,8,11,0.2755643675454546,0.0014129188774839845,0.2755471357865767,0.001412531815203138,3629143148.758925,12,0.27542356872558593
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,512,No,0.00055053,8,11,0.276841435,0.004271329312922574,0.2768251814408736,0.004271238996828693,3612388131.726331,12,0.27557068634033205
